"Prediction","Actual"
618.35324148,616.92
618.731074634,616.34
619.263574392,606.81
621.621773401,611.93
622.76494027,605.94
625.281571427,610.49
626.585638972,611.96
627.0897766,611.96
627.438104997,614.3
626.682252981,614.53
625.795071523,614.12
624.952253628,615.93
623.812499043,615.93
622.900043809,620.73
621.090583038,621.32
619.679817794,617.7
619.393851111,616.71
619.404287205,618.46
619.187782099,609.45
620.94778776,598.48
625.377206584,602.69
628.455121511,601.81
631.572460776,599.82
634.875869886,608.44
635.300436145,606.37
635.779659694,608.24
635.361851363,611.83
633.38725374,613.4
631.043712589,612.79
629.20497807,619.96
625.262294451,617.03
623.18960687,621.62
620.66985495,624.22
618.389573988,630.15
615.926034997,636.02
613.842819246,638.46
612.618196957,635.84
612.214219104,641.43
611.883389936,646.33
611.743797333,649.93
