prediction,actual
650.350777158,616.92
650.039895428,616.34
649.726850133,606.81
649.958483027,611.93
649.512150154,605.94
649.249024576,610.49
648.599842796,611.96
648.039397451,611.96
647.915142724,614.3
648.053554838,614.53
648.633662521,614.12
649.415877934,615.93
649.89043904,615.93
649.887346643,620.73
649.782548876,621.32
649.577701788,617.7
649.923112803,616.71
650.091353335,618.46
649.940891774,609.45
650.25992912,598.48
650.353226174,602.69
649.435839644,601.81
648.697614446,599.82
648.170122247,608.44
647.379150194,606.37
647.207197624,608.24
647.520779878,611.83
648.089524433,613.4
649.46018202,612.79
650.458648639,619.96
650.149209475,617.03
650.584313348,621.62
650.509325898,624.22
650.211813885,630.15
650.197865428,636.02
650.003701578,638.46
650.039239344,635.84
650.48850808,641.43
648.161167504,646.33
622.794113831,649.93
610.996297713,656.07
610.78194459,656.37
611.182099328,661.45
611.342438391,660.51
611.556595682,655.58
611.933252927,651.32
612.412104712,647.98
613.23080271,647.98
613.847912474,640.65
614.458187898,648.1
615.118848093,658.86
615.252627968,659.08
615.311807529,650.46
614.801898532,647.24
614.425253446,644.75
613.928891508,640.43
613.769616888,644.37
614.119684149,650.81
614.344404323,655.79
614.813782769,652.0
615.139313862,653.65
614.712503166,633.5
613.981603034,640.02
613.799358655,637.09
614.04736088,638.55
614.423176047,640.87
614.84398414,641.43
615.79856965,652.65
615.45374585,651.69
614.553765685,649.98
613.512074862,649.19
612.285459267,650.62
612.597977299,650.04
612.581383091,652.97
613.000937458,648.91
613.521877489,648.94
613.858572287,645.5
614.468781281,653.73
614.383553917,655.26
614.151608925,655.88
614.100275702,655.86
614.014704341,655.86
613.903674595,644.24
613.848058464,642.19
613.871698589,633.5
614.373208573,631.18
614.749026666,636.71
615.498972501,642.49
616.027682487,645.0
615.88834647,641.61
