"entropy","gray level threshold","no of black pixels","no of interior contours","no of exterior contours","no vertical slope components","no horizontal slope components","no positive slope components","no negative slope components","slant","height","class"
1.761095,13,5463,25,13,0.163319,0.064047,0.127692,0.028421,0.224542,89,1
1.754801,30,2553,31,12,0.136733,0.06601,0.095199,0.024475,0.176967,32,1
1.817218,35,4389,16,10,0.164785,0.079965,0.121293,0.036473,0.233266,9,1
1.759235,14,4299,25,10,0.169526,0.071746,0.127099,0.029319,0.219466,36,1
1.49838,14,5920,20,14,0.117695,0.056595,0.065613,0.004513,0.095831,22,1
1.878002,13,3093,28,13,0.112985,0.043724,0.085449,0.016188,0.138101,25,1
1.36699,15,3065,30,12,0.129503,0.058695,0.081806,0.010998,0.129413,8,1
1.597559,12,4659,34,10,0.130672,0.054705,0.090761,0.014794,0.134969,20,1
1.807597,13,5824,31,12,0.149865,0.059364,0.112859,0.022358,0.19098,46,1
1.377882,14,4286,29,12,0.111629,0.049108,0.069559,0.007038,0.105287,37,1
1.471421,16,2941,19,11,0.123497,0.060964,0.070842,0.008309,0.114878,48,1
1.963001,16,4257,25,14,0.192095,0.089146,0.138544,0.035595,0.257021,53,1
1.880995,13,4228,32,10,0.166387,0.08114,0.099744,0.014497,0.171888,62,1
1.550051,16,4517,28,13,0.121644,0.04233,0.098601,0.019288,0.154787,43,1
1.696189,14,3328,31,10,0.143925,0.061973,0.107075,0.025123,0.177791,113,1
1.843074,13,1302,27,9,0.162949,0.080529,0.097486,0.015065,0.167984,47,1
1.448649,12,5245,30,7,0.132388,0.058301,0.099583,0.025497,0.178472,75,1
1.951068,8,5454,30,11,0.150757,0.05459,0.128346,0.032179,0.22037,3,1
1.821836,9,3483,27,10,0.15725,0.065869,0.134385,0.043005,0.255847,75,1
1.86963,14,7527,15,10,0.156964,0.060638,0.123559,0.027233,0.205807,81,1
1.92979,12,5358,24,11,0.181831,0.066397,0.156177,0.040743,0.287785,123,1
1.868924,27,1929,31,6,0.168222,0.083173,0.118199,0.033151,0.228967,81,1
1.976375,29,1806,25,12,0.180946,0.090245,0.127388,0.036687,0.251707,65,1
1.874821,28,2106,16,10,0.147592,0.075226,0.101615,0.029249,0.197685,73,1
1.729099,9,3870,66,11,0.172248,0.061703,0.136544,0.025999,0.222541,82,1
1.722805,26,960,72,10,0.145662,0.063666,0.104051,0.022053,0.174966,25,1
1.785222,31,2796,57,12,0.173714,0.077621,0.130145,0.034051,0.231265,2,1
1.727239,10,2706,66,8,0.178455,0.069402,0.135951,0.026897,0.217465,29,1
1.466384,10,4327,61,12,0.126624,0.054251,0.074465,0.002091,0.09383,15,1
1.846006,9,1500,69,11,0.121914,0.04138,0.094301,0.013766,0.1361,18,1
1.334994,11,1472,71,10,0.138432,0.056351,0.090658,0.008576,0.127412,1,1
1.565563,8,3066,75,8,0.139601,0.052361,0.099613,0.012372,0.132968,13,1
1.775601,9,4231,72,10,0.158794,0.05702,0.121711,0.019936,0.188979,39,1
1.345886,10,2693,70,10,0.120558,0.046764,0.078411,0.004616,0.103286,30,1
1.439425,12,1348,60,9,0.132426,0.05862,0.079694,0.005887,0.112877,41,1
1.931005,12,2664,66,12,0.201024,0.086802,0.147396,0.033173,0.25502,46,1
1.848999,9,2635,73,8,0.175316,0.078796,0.108596,0.012075,0.169887,55,1
1.518055,12,2924,69,11,0.130573,0.039986,0.107453,0.016866,0.152786,36,1
1.664193,10,1735,72,8,0.152854,0.059629,0.115927,0.022701,0.17579,106,1
1.811078,9,291,68,7,0.171878,0.078185,0.106338,0.012643,0.165983,40,1
1.416653,8,3652,71,5,0.141317,0.055957,0.108435,0.023075,0.176471,68,1
1.919072,4,3861,71,9,0.159686,0.052246,0.137198,0.029757,0.218369,4,1
1.78984,5,1890,68,8,0.166179,0.063525,0.143237,0.040583,0.253846,68,1
1.837634,10,5934,56,8,0.165893,0.058294,0.132411,0.024811,0.203806,74,1
1.897794,8,3765,65,9,0.19076,0.064053,0.165029,0.038321,0.285784,116,1
1.836928,23,336,72,4,0.177151,0.080829,0.127051,0.030729,0.226966,74,1
1.944379,25,213,66,10,0.189875,0.087901,0.13624,0.034265,0.249706,58,1
1.842825,24,513,57,12,0.156521,0.072882,0.110467,0.026827,0.195684,66,1
1.710376,4,6591,33,3,0.159757,0.070445,0.10397,0.014659,0.184636,118,1
1.704082,21,3681,39,2,0.133171,0.072408,0.071477,0.010713,0.137061,61,1
1.766499,26,5517,24,20,0.161223,0.086363,0.097571,0.022711,0.19336,38,1
1.708516,5,5427,33,0,0.165964,0.078144,0.103377,0.015557,0.17956,65,1
1.447661,5,7048,28,4,0.114133,0.062993,0.041891,0.009249,0.055925,51,1
1.827283,4,4221,36,3,0.109423,0.050122,0.061727,0.002426,0.098195,54,1
1.316271,6,4193,38,2,0.125941,0.065093,0.058084,0.002764,0.089507,37,1
1.54684,3,5787,42,0,0.12711,0.061103,0.067039,0.001032,0.095063,49,1
1.756878,4,6952,39,2,0.146303,0.065762,0.089137,0.008596,0.151074,75,1
1.327163,5,5414,37,2,0.108067,0.055506,0.045837,0.006724,0.065381,66,1
1.420702,7,4069,27,1,0.119935,0.067362,0.04712,0.005453,0.074972,77,1
1.912282,7,5385,33,4,0.188533,0.095544,0.114822,0.021833,0.217115,82,1
1.830276,4,5356,40,0,0.162825,0.087538,0.076022,0.000735,0.131982,91,1
1.499332,7,5645,36,3,0.118082,0.048728,0.074879,0.005526,0.114881,72,1
1.64547,5,4456,39,0,0.140363,0.068371,0.083353,0.011361,0.137885,142,1
1.792355,4,2430,35,1,0.159387,0.086927,0.073764,0.001303,0.128078,76,1
1.39793,3,6373,38,3,0.128826,0.064699,0.075861,0.011735,0.138566,104,1
1.900349,1,6582,38,1,0.147195,0.060988,0.104624,0.018417,0.180464,32,1
1.771117,0,4611,35,0,0.153688,0.072267,0.110663,0.029243,0.215941,104,1
1.818911,5,8655,23,0,0.153402,0.067036,0.099837,0.013471,0.165901,110,1
1.879071,3,6486,32,1,0.178269,0.072795,0.132455,0.026981,0.247879,152,1
1.818205,18,3057,39,4,0.16466,0.089571,0.094477,0.019389,0.189061,110,1
1.925656,20,2934,33,2,0.177384,0.096643,0.103666,0.022925,0.211801,94,1
1.824102,19,3234,24,20,0.14403,0.081624,0.077893,0.015487,0.157779,102,1
1.674105,12,6354,37,15,0.162805,0.068347,0.113168,0.018711,0.206584,18,1
1.667811,29,3444,43,14,0.136219,0.07031,0.080675,0.014765,0.159009,39,1
